ID,Name,Glottocode,ISO639P3code,concept_count,word_count
Badga,Badga,bada1257,bfq,95,95
Betta_Kurumba,Betta_Kurumba,bett1235,xub,100,100
Brahui,Brahui,brah1256,brh,100,100
Gondi,Gondi,nort2702,gno,100,100
Kannada,Kannada,nucl1305,kan,100,100
Kodava,Kodava,koda1255,kfa,100,100
Kolami,Kolami,nort2699,kfb,96,96
Kota,Kota,kota1263,kfe,91,91
Koya,Koya,koya1251,kff,100,100
Kurukh,Kurukh,kuru1302,kru,100,100
Kuwi,Kuwi,kuvi1243,kxv,56,56
Malayalam,Malayalam,mala1464,mal,100,100
Malto,Malto,saur1249,mjt,95,95
Ollari_Gadba,Ollari_Gadba,pott1240,gdb,59,59
Parji,Parji,duru1236,pci,64,64
Tamil,Tamil,tami1289,tam,100,100
Telugu,Telugu,telu1262,tel,100,100
Toda,Toda,toda1252,tcx,100,100
Tulu,Tulu,tulu1258,tcy,98,98
Yeruva,Yeruva,ravu1237,yea,99,99
