,da,de,en,et,fi,ka,lzz,sv,sva,vro,xmf
da,,,,,,,,,,,
de,14.313732563732563,,,,,,,,,,
en,15.937320754181219,16.362126577072704,,,,,,,,,
et,20.24707097381516,21.14612641774843,23.28561065879907,,,,,,,,
fi,20.98743386243386,21.56215738332075,23.555666890811818,11.366439887273222,,,,,,,
ka,23.577024978871766,24.242447180238386,25.742864388697722,22.198798115464786,21.57835763270546,,,,,,
lzz,24.166746367327764,24.953189865689865,26.903673562210148,22.94784807890977,22.51612523655207,17.610006759540475,,,,,
sv,7.764729888167389,14.21453313156853,16.507856341189676,21.225810632861915,21.235082225466837,23.749658520491852,25.232650079389213,,,,
sva,23.307052228563858,23.27122024603368,25.42615764763823,22.096192036119223,22.1723351486701,21.908965966611593,22.670434617125796,23.401204159824854,,,
vro,20.60594315245478,21.045258955840637,23.150988772365586,6.957449746401826,11.783875864948913,22.007447741942627,22.934854271744516,20.97725114391781,21.96894312695997,,
xmf,24.051827512765012,24.30225762512195,26.66837424558013,22.060168861639447,21.266182131017768,14.753516285793534,11.596683631231643,24.095829532786052,21.790572420190646,21.999580734928923,
